Author,Project/Subproject,Change_Size,Final Reviewers,All Reviewers,File Info,Subject,Status
1000463,frameworks_base,11,[1000000],"[1000000, 1000002]",['media/java/android/media/AudioSystem.java'],audio: Add support for audio extended codecs,closed
1000463,frameworks_base,2,[1000000],"[1000000, 1000002]",['packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java'],Use BluetoothUtils instead of Utils,closed
1000463,frameworks_base,11,[1000000],"[1000000, 1000002]",['packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java'],GAP: Handle the race condition cases in auto connect logic,closed
1000463,frameworks_base,89,[1000000],"[1000000, 1000002]","['obex/javax/obex/ClientOperation.java', 'obex/javax/obex/ServerOperation.java', 'obex/javax/obex/ObexHelper.java', 'obex/javax/obex/ServerSession.java', 'obex/javax/obex/ClientSession.java']",Obex: Squashed commit of the following,closed
1000463,frameworks_base,81,[1000000],"[1000000, 1000002]","['core/java/android/bluetooth/le/ScanRecord.java', 'core/java/android/bluetooth/le/ScanFilter.java']",BLE: Add support for Group AD Type based scan filtering.,closed
1000463,frameworks_base,161,[1000000],"[1000000, 1000002]","['core/java/android/bluetooth/le/ScanRecord.java', 'core/java/android/bluetooth/le/ScanFilter.java']",Add scan filter for Transport Discovery data,closed
1000463,frameworks_base,31,[1000000],"[1000000, 1000002]","['core/java/android/bluetooth/le/BluetoothLeScanner.java', 'core/java/android/bluetooth/le/ScanSettings.java']",Support CALLBACK_TYPE_SENSOR_ROUTING,closed
1000463,frameworks_base,86,[1000000],"[1000000, 1000002]","['core/java/android/bluetooth/le/AdvertiseData.java', 'core/java/android/bluetooth/le/BluetoothLeUtils.java']",Add support for Transport discovery AD type (1/2),closed
1000463,frameworks_base,93,[1000000],"[1000000, 1000002]","['packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDeviceManager.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/BluetoothEventManager.java', 'core/java/android/bluetooth/BluetoothHeadset.java', 'core/res/AndroidManifest.xml']",Bluetooth: TWSP: Support Battery Status information display,closed
1000463,frameworks_base,17,[1000000],"[1000000, 1000002]",['telecomm/java/android/telecom/TelecomManager.java'],BT: Send info if call is CS type from telecomm service to BT apps.,closed
1000463,frameworks_base,25,[1000000],"[1000000, 1000002]","['core/java/android/bluetooth/BluetoothDevice.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java']",GAP: Reset bondingInitiatedLocally flag(1/3),closed
1000463,frameworks_base,4,[1000000],"[1000000, 1000002]",['packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java'],Bluetooth-TWS: Disable outgoing connection to 2nd earbud,closed
1000463,frameworks_base,2,[1000000],"[1000000, 1000002]",['packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java'],Bluetooth-TWS: Disable outgoing connection for 2nd earbud.,closed
1000463,frameworks_base,2,[1000000],"[1000000, 1000002]",['packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java'],Bluetooth: Rename bluetooth property to support new P Treble rules,closed
1000463,frameworks_base,39,[1000000],"[1000000, 1000002]",['packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java'],Bluetooth: Unpair both earbuds on unpair.,closed
1000463,frameworks_base,142,[1000000],"[1000000, 1000002]","['services/core/java/com/android/server/audio/AudioService.java', 'media/java/android/media/IAudioService.aidl', 'services/core/java/com/android/server/audio/AudioDeviceInventory.java', 'media/java/android/media/AudioManager.java', 'services/core/java/com/android/server/audio/AudioDeviceBroker.java']",Revert the change: AudioService: remove dead BT code.,closed
1000463,frameworks_base,98,[1000000],"[1000000, 1000002]",['core/java/android/bluetooth/BluetoothDevice.java'],Bluetooth: Add SDK API support for TWS feature (2),closed
1000463,frameworks_base,22,[1000000],"[1000000, 1000002]","['packages/SettingsLib/res/values/arrays.xml', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/A2dpProfile.java', 'packages/SettingsLib/tests/robotests/src/com/android/settingslib/bluetooth/A2dpProfileTest.java', 'packages/SettingsLib/res/values-en-rGB/arrays.xml', 'core/java/android/bluetooth/BluetoothCodecConfig.java']",TWS-A2DP: Add TWS+ codec to DevUI support,closed
1000463,frameworks_base,18,[1000000],"[1000000, 1000002]","['packages/SettingsLib/res/values/arrays.xml', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/A2dpProfile.java', 'packages/SettingsLib/tests/robotests/src/com/android/settingslib/bluetooth/A2dpProfileTest.java', 'packages/SettingsLib/res/values-en-rGB/arrays.xml', 'core/java/android/bluetooth/BluetoothCodecConfig.java']",BT: Adding aptX-Adaptive codec entry to Framework,closed
1000463,frameworks_base,1396,[1000000],"[1000000, 1000002]","['core/java/android/bluetooth/BluetoothDevice.java', 'core/java/android/bluetooth/BluetoothQualityReport.java']",Add BluetoothQualityReport class(1/2),closed
1000463,vendor_aosp,3,[1000000],[1000000],['config/BoardConfigQcom.mk'],config: Setup soong namespaces for TARGET_USE_QTI_BT_STACK,closed
1000463,system_bt,16,[1000000],[1000000],['main/shim/le_scanning_manager.cc'],le_manager: Adapt to QTI API changes,closed
