Author,Project/Subproject,Change_Size,Final Reviewers,All Reviewers,File Info,Subject,Status
308,Impala-ASF,826,[255],[255],"['src/kudu/common/table_util.cc', 'src/kudu/master/hms_notification_log_listener.cc', 'src/kudu/tools/tool_action_master.cc', 'src/kudu/tools/tool_action_table.cc', 'src/kudu/tserver/ts_tablet_manager.cc', 'src/kudu/util/block_cache_metrics.cc']",WiP: Zipping unnest from view,new
195,kudu,2,[217],"[120, 195, 217]",['java/gradle/dependencies.gradle'],[java] bump log4j up to 2.16.0 version,closed
645,Impala-ASF,3988,[451],"[255, 451, 645, 646, 653]","['be/src/catalog/catalog-server.cc', 'be/src/util/backend-gflag-util.cc', 'common/thrift/BackendGflags.thrift', 'fe/src/main/java/org/apache/impala/catalog/CatalogServiceCatalog.java', 'fe/src/main/java/org/apache/impala/catalog/Db.java', 'fe/src/main/java/org/apache/impala/catalog/Table.java', 'fe/src/main/java/org/apache/impala/catalog/TableLoader.java', 'fe/src/main/java/org/apache/impala/catalog/events/EventFactory.java', 'fe/src/main/java/org/apache/impala/catalog/events/MetastoreEvents.java', 'fe/src/main/java/org/apache/impala/catalog/events/MetastoreEventsProcessor.java', 'fe/src/main/java/org/apache/impala/catalog/events/NoOpEventProcessor.java', 'fe/src/main/java/org/apache/impala/catalog/metastore/CatalogMetastoreServiceHandler.java', 'fe/src/main/java/org/apache/impala/catalog/metastore/HmsApiNameEnum.java', 'fe/src/main/java/org/apache/impala/catalog/metastore/MetastoreServiceHandler.java', 'fe/src/main/java/org/apache/impala/service/BackendConfig.java', 'fe/src/main/java/org/apache/impala/service/CatalogOpExecutor.java', 'fe/src/main/java/org/apache/impala/service/JniCatalog.java', 'fe/src/test/java/org/apache/impala/catalog/AlterDatabaseTest.java', 'fe/src/test/java/org/apache/impala/catalog/MetastoreApiTestUtils.java', 'fe/src/test/java/org/apache/impala/catalog/events/EventsProcessorStressTest.java', 'fe/src/test/java/org/apache/impala/catalog/events/MetastoreEventsProcessorTest.java', 'fe/src/test/java/org/apache/impala/catalog/events/SynchronousHMSEventProcessorForTests.java', 'fe/src/test/java/org/apache/impala/catalog/metastore/AbstractCatalogMetastoreTest.java', 'fe/src/test/java/org/apache/impala/catalog/metastore/CatalogHmsSyncToLatestEventIdTest.java', 'fe/src/test/java/org/apache/impala/testutil/CatalogServiceTestCatalog.java', 'tests/custom_cluster/test_metastore_service.py', 'fe/src/main/java/org/apache/impala/catalog/TableLoadingMgr.java', 'fe/src/main/java/org/apache/impala/catalog/metastore/CatalogMetastoreServer.java', 'fe/src/test/java/org/apache/impala/catalog/metastore/CatalogHmsFileMetadataTest.java']",IMPALA-10926: Improve catalogd consistency and self events detection,closed
633,kudu,1,[195],"[120, 195, 217]",['src/kudu/server/startup_path_handler.cc'],[KUDU-1959] - Fix the counter in StartupProgressStepsRemainingMetric(),closed
663,Impala-ASF,468,[255],"[255, 333, 529, 663]",['be/src/exprs/aggregate-functions-ir.cc'],IMPALA-10956: datasketches UDFs: memory leak and merge overhead,closed
195,kudu,25,[195],"[120, 195, 215, 460, 633]","['src/kudu/rpc/client_negotiation.cc', 'src/kudu/thrift/sasl_client_transport.cc']",KUDU-3297 fix Thrift client used for HMS integration,closed
563,Impala-ASF,2,[255],"[255, 269, 451, 563]",['testdata/bin/generate-schema-statements.py'],"IMPALA-11055: Remove ""exit"" from HBase data loading script.",closed
195,kudu,2,"[195, 217]","[120, 195, 217, 427]",['java/gradle/dependencies.gradle'],[java] bump log4j up to 2.15.0 version,closed
195,kudu,25,[195],"[120, 195, 215, 460, 633]","['src/kudu/rpc/client_negotiation.cc', 'src/kudu/thrift/sasl_client_transport.cc']",KUDU-3297 fix Thrift client used for HMS integration,closed
195,kudu,2,"[195, 217]","[120, 195, 217, 427]",['java/gradle/dependencies.gradle'],[java] bump log4j up to 2.15.0 version,closed
