Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Closed At;status
349621;twbs/icons;98681;4;['config.yml', 'docs/layouts/partials/stylesheet.html'];twbs/icons;None;open
349621;twbs/icons;98681;6230;['.fantasticonrc.js', 'build/font/html.hbs', 'docs/content/font.md', 'docs/layouts/_default/font.html', 'docs/layouts/_default/home.html', 'docs/layouts/partials/icons.html', 'docs/layouts/partials/scripts.html', 'font/index.html'];twbs/icons;None;open
1212885;twbs/icons;349621;28;['config.yml', 'docs/static/assets/js/list.min.js', 'package-lock.json', 'package.json', 'package-lock.json', 'package.json'];twbs/icons;None;open
349621;twbs/.github;98681;1;['funding.yml'];twbs/.github;None;open
349621;twbs/icons;98681;507;['docs/assets/js/vendor/bootstrap.min.js', 'docs/layouts/partials/scripts.html', 'bootstrap-icons.svg', 'config.yml', 'docs/content/icons/arrow-clockwise.md', 'docs/layouts/partials/home/hero.html', 'font/bootstrap-icons.css', 'font/bootstrap-icons.scss', 'font/fonts/bootstrap-icons.woff', 'font/fonts/bootstrap-icons.woff2', 'icons/activity.svg', 'icons/check-lg.svg', 'icons/dash-lg.svg', 'icons/discord.svg', 'icons/droplet-fill.svg', 'icons/easel2-fill.svg', 'icons/easel2.svg', 'icons/easel3-fill.svg', 'icons/easel3.svg', 'icons/exclamation-lg.svg', 'icons/fan.svg', 'icons/fingerprint.svg', 'icons/graph-down-arrow.svg', 'icons/graph-down.svg', 'icons/graph-up-arrow.svg', 'icons/graph-up.svg', 'icons/hypnotize.svg', 'icons/info-lg.svg', 'icons/lamp-fill.svg', 'icons/lamp.svg', 'icons/magic.svg', 'icons/person-rolodex.svg', 'icons/person-video.svg', 'icons/person-video2.svg', 'icons/person-video3.svg', 'icons/person-workspace.svg', 'icons/plus-lg.svg', 'icons/question-lg.svg', 'icons/radioactive.svg', 'icons/slash-lg.svg', 'icons/snapchat.svg', 'icons/webcam-fill.svg', 'icons/webcam.svg', 'icons/x-lg.svg', 'icons/yin-yang.svg', 'package-lock.json', 'package.json', 'svgo.config.js'];twbs/icons;2021-11-01T03:17:50Z;closed
349621;twbs/bootstrap-npm-starter;98681;2;['README.md'];twbs/bootstrap-npm-starter;2020-04-19T19:49:26Z;closed
349621;twbs/icons;98681;268;['package-lock.json', 'package.json'];twbs/icons;2021-07-17T14:34:53Z;closed
349621;twbs/icons;98681;18;['.github/workflows/deploy.yml', '.github/workflows/test.yml'];twbs/icons;2021-07-17T14:35:11Z;closed
349621;twbs/icons;98681;614;['package-lock.json', 'package.json'];twbs/icons;2021-04-14T05:54:58Z;closed
349621;twbs/icons;98681;8;['docs/static/assets/css/bootstrap.min.css', 'docs/static/assets/js/bootstrap.min.js'];twbs/icons;2021-03-24T19:52:53Z;closed
49699333;twbs/icons;349621;220;['package-lock.json', 'package.json'];twbs/icons;2021-03-02T13:00:41Z;closed
49699333;twbs/icons;349621;104;['package-lock.json', 'package.json'];twbs/icons;2021-03-03T19:26:29Z;closed
49699333;twbs/icons;349621;234;['package-lock.json', 'package.json'];twbs/icons;2021-02-23T12:05:19Z;closed
895831;twbs/bootstrap;349621;7195;['site/content/docs/4.6/components/toasts.md', '.github/workflows/browserstack.yml', '.github/workflows/bundlewatch.yml', '.github/workflows/codeql.yml', '.github/workflows/css.yml', '.github/workflows/dart-sass.yml', '.github/workflows/docs.yml', '.github/workflows/js.yml', '.github/workflows/lint.yml', '.stylelintrc', 'README.md', 'build/change-version.js', 'build/svgo.yml', 'js/index.js', 'package-lock.json', 'package.json', 'scss/mixins/_reset-text.scss', 'site/assets/scss/_algolia.scss', 'site/assets/scss/_placeholder-img.scss', 'site/assets/scss/_syntax.scss', 'site/content/docs/4.6/examples/.stylelintrc', 'site/content/docs/4.6/getting-started/contents.md', 'site/content/docs/4.6/utilities/flex.md'];twbs/bootstrap;2022-01-03T08:15:29Z;closed
56331609;twbs/bootstrap;22406063;2;['site/content/docs/5.1/components/list-group.md'];twbs/bootstrap;2022-01-05T17:38:52Z;closed
895831;twbs/bootstrap;22406063;2;['js/src/offcanvas.js', 'scss/_offcanvas.scss', 'site/content/docs/5.1/components/navs-tabs.md', '.cspell.json', 'site/content/docs/5.1/components/carousel.md', 'js/src/offcanvas.js', 'scss/_offcanvas.scss', 'js/tests/unit/offcanvas.spec.js', 'js/tests/unit/offcanvas.spec.js', 'LICENSE', 'README.md', 'build/build-plugins.js', 'build/change-version.js', 'build/generate-sri.js', 'build/vnu-jar.js', 'build/zip-examples.js', 'nuget/bootstrap.nuspec', 'nuget/bootstrap.png', 'nuget/bootstrap.sass.nuspec', 'package-lock.json', 'package.json', 'scss/bootstrap-grid.scss', 'scss/bootstrap-reboot.scss', 'scss/bootstrap-utilities.scss', 'scss/bootstrap.scss', 'site/assets/js/application.js', 'site/assets/scss/docs.scss', 'site/content/docs/5.1/utilities/api.md', 'site/content/docs/5.1/components/navbar.md', 'site/content/docs/5.1/components/offcanvas.md', 'scss/_offcanvas.scss', 'scss/_offcanvas.scss', 'site/content/docs/5.1/components/offcanvas.md'];twbs/bootstrap;2022-01-05T17:20:16Z;closed
49699333;twbs/blog;349621;16;['package-lock.json', 'package.json'];twbs/blog;2021-12-01T11:57:30Z;closed
49699333;twbs/blog;349621;32;['package-lock.json', 'package.json'];twbs/blog;2021-12-01T11:57:33Z;closed
49699333;twbs/blog;349621;16;['package-lock.json', 'package.json'];twbs/blog;2021-12-01T11:57:31Z;closed
49699333;twbs/blog;349621;24;['package-lock.json', 'package.json'];twbs/blog;2021-10-01T09:36:44Z;closed
49699333;twbs/blog;349621;20;['package-lock.json', 'package.json'];twbs/blog;2021-10-01T09:39:38Z;closed
49699333;twbs/blog;349621;114;['package-lock.json', 'package.json'];twbs/blog;2021-10-01T09:41:42Z;closed
49699333;twbs/blog;349621;16;['Gemfile', 'Gemfile.lock'];twbs/blog;2021-07-01T06:55:53Z;closed
49699333;twbs/blog;349621;2;['.github/workflows/ci.yml'];twbs/blog;2021-05-12T09:04:46Z;closed
49699333;twbs/blog;349621;6;['.github/workflows/calibreapp-image-actions.yml', '.github/workflows/ci.yml'];twbs/blog;2021-05-12T09:04:01Z;closed
